//BGT Area Links Table
SRC_AREA  SRC_NWSE  TARGET_ARE  ENTRY_NAME  TRV_TIME  DEF_ENTRY  ENC1     ENC2     ENC3     ENC4     ENC5     ENC_PROB

AR0015    E         AR6600      Exit6526    2         8          AR4700   AR5301   AR4900   AR5101   AR4800   0
AR0015    N         AR8400      EXIT8800    2         3          AR4901   AR4700   AR5301   AR4900   AR5101   10
AR0015    N         AR8800      EXIT8400    2         2          AR4800   AR5100   AR5400   AR4801   AR4701   10
AR0015    E         AR9200      EXIT7100    1         1          AR5300   AR4901   AR4700   AR5301   AR4900   10

AR3100    E         AR3200      EXIT3100    3         4          AR5300   AR4901   AR4700   AR5301   AR4900   10
AR3100    S         AR3498      EXITA100    2         4          AR4900   AR5101   AR4800   AR5100   AR5400   10
AR3100    S         AR4300      EXIT4200    1         3          AR4701   AR5300   AR4901   AR4700   AR5301   10
AR3100    N         AR7100      EXIT9600    3         3          AR4701   AR5300   AR4901   AR4700   AR5301   10
AR3100    W         AR9600      EXIT3100    2         4          AR5400   AR4801   AR4701   AR5300   AR4901   10
AR3100    W         ARA100      EXIT3100    2         3          AR4800   AR5100   AR5400   AR4801   AR4701   10
AR3100    N         AR9700      EXIT9600    3         4          AR4701   AR5300   AR4901   AR4700   AR5301   10

AR3200    W         AR3100      EXIT3200    3         4          AR4700   AR5301   AR4900   AR5101   AR4800   10
AR3200    E         AR3300      EXIT3200    3         4          AR4701   AR5300   AR4901   AR4700   AR5301   10
AR3200    S         AR3700      EXIT3200    2         3          AR5301   AR4900   AR5101   AR4800   AR5100   10
AR3200    N         AR9300      EXIT9799    3         4          AR5300   AR4901   AR4700   AR5301   AR4900   10
AR3200    N         AR9700      EXIT3200    2         4          AR4801   AR4701   AR5300   AR4901   AR4700   10
AR3200    E         AR9799      EXIT9700    4         4          AR4801   AR4701   AR5300   AR4901   AR4700   10

AR3300    W         AR3200      EXIT3300    3         4          AR4901   AR4700   AR5301   AR4900   AR5101   10
AR3300    E         AR3400      EXIT3300    2         3          AR4801   AR4701   AR5300   AR4901   AR4700   10
AR3300    S         AR3800      EXIT3300    2         4          AR4700   AR5301   AR4900   AR5101   AR4800   10
AR3300    S         AR3900      EXIT3400    2         4          AR4700   AR5301   AR4900   AR5101   AR4800   10
AR3300    N         AR9300      EXIT9799    4         4          AR4901   AR4700   AR5301   AR4900   AR5101   10
AR3300    N         AR9799      EXIT3300    2         5          AR4701   AR5300   AR4901   AR4700   AR5301   10
AR3300    E         AR9900      EXIT9799    2         3          AR4901   AR4700   AR5301   AR4900   AR5101   10

AR3400    W         AR3300      EXIT3400    2         4          AR5300   AR4901   AR4700   AR5301   AR4900   10
AR3400    W         AR3900      EXIT3400    2         3          AR4801   AR4701   AR5300   AR4901   AR4700   10
AR3400    N         AR9799      EXIT3400    2         5          AR4700   AR5301   AR4900   AR5101   AR4800   10
AR3400    N         AR9900      EXIT3400    0         3          AR5300   AR4901   AR4700   AR5301   AR4900   10
AR3400    E         DSC010      EXIT4600    2         1          AR5301   AR4900   AR5101   AR4800   AR5100   10

AR3498    N         AR3100      EXIT3498    2         4          AR5100   AR5400   AR4801   AR4701   AR5300   10
AR3498    W         AR3499      EXIT3498    2         3          AR4701   AR5300   AR4901   AR4700   AR5301   10
AR3498    E         AR3700      EXIT4300    6         3          AR5400   AR4801   AR4701   AR5300   AR4901   10
AR3498    W         AR4100      EXIT4200    3         1          AR4800   AR5100   AR5400   AR4801   AR4701   10
AR3498    S         AR4200      EXIT3498    2         3          AR4801   AR4701   AR5300   AR4901   AR4700   10
AR3498    W         AR9500      EXIT9600    2         2          AR4700   AR5301   AR4900   AR5101   AR4800   10
AR3498    N         AR9600      EXIT3100    3         2          AR4700   AR5301   AR4900   AR5101   AR4800   10
AR3498    W         ARA100      EXIT3499    2         3          AR5300   AR4901   AR4700   AR5301   AR4900   10

AR3499    E         AR3498      EXIT3499    2         3          AR5301   AR4900   AR5101   AR4800   AR5100   10
AR3499    S         AR4100      EXIT4200    1         1          AR4700   AR5301   AR4900   AR5101   AR4800   10
AR3499    E         AR4200      EXIT4100    3         3          AR5300   AR4901   AR4700   AR5301   AR4900   10
AR3499    N         ARA100      EXIT3499    1         3          AR5101   AR4800   AR5100   AR5400   AR4801   10

AR3700    N         AR3200      EXIT3700    2         4          AR4801   AR4701   AR5300   AR4901   AR4700   10
AR3700    W         AR3498      EXIT3700    6         4          AR4700   AR5301   AR4900   AR5101   AR4800   10
AR3700    E         AR3800      EXIT3700    0         4          AR5101   AR4800   AR5100   AR5400   AR4801   10
AR3700    S         AR4400      EXIT3800    0         3          AR4901   AR4700   AR5301   AR4900   AR5101   10
AR3700    N         AR6700      EXIT9700    4         4          AR4801   AR4701   AR5300   AR4901   AR4700   10
AR3700    N         AR6800      EXIT6900    8         2          AR5100   AR5400   AR4801   AR4701   AR5300   30
AR3700    S         AR4300      EXIT3700    3         1          AR5400   AR4801   AR4701   AR5300   AR4901   10

AR3800    E         AR3300      EXIT3800    2         4          AR4801   AR4701   AR5300   AR4901   AR4700   10
AR3800    W         AR3700      EXIT3800    0         3          AR4901   AR4700   AR5301   AR4900   AR5101   10
AR3800    E         AR3900      EXIT3800    4         3          AR4900   AR5101   AR4800   AR5100   AR5400   10
AR3800    S         AR4400      EXIT3800    0         3          AR4700   AR5301   AR4900   AR5101   AR4800   10

AR3900    N         AR3300      EXIT3800    2         3          AR4901   AR4700   AR5301   AR4900   AR5101   10
AR3900    N         AR3400      EXIT3900    2         3          AR4901   AR4700   AR5301   AR4900   AR5101   10
AR3900    N         AR3800      EXIT3900    4         4          AR4701   AR5300   AR4901   AR4700   AR5301   10
AR3900    S         AR4600      EXIT3900    2         2          AR5101   AR4800   AR5100   AR5400   AR4801   10
AR3900    E         DSC010      EXIT4600    2         1          AR5301   AR4900   AR5101   AR4800   AR5100   10

AR4100    E         AR3499      EXIT4100    1         3          AR4700   AR5301   AR4900   AR5101   AR4800   10
AR4100    E         AR3498      EXIT4200    3         3          AR5100   AR5400   AR4801   AR4701   AR5300   10
