//DSotSC Area Links Table
SRC_AREA  SRC_NWSE  TARGET_ARE  ENTRY_NAME  TRV_TIME  DEF_ENTRY  ENC1     ENC2     ENC3     ENC4     ENC5     ENC_PROB

AR8900    E         DSC001      EXIT8900    3         8          AR5300   AR5301   N        N        N        30

DSC001    N         AR8700      EXIT8900    4         1          AR4701   AR4801   AR5301   AR4901   AR5300   10
DSC001    W         AR8900      EXITC001    3         4          AR4701   AR4801   AR5301   AR4901   AR5300   10
DSC001    S         AR9100      EXIT9400    1         2          AR4701   AR4801   AR5301   AR4901   AR5300   10
DSC001    S         AR9400      EXIT9100    1         2          AR4701   AR4801   AR5301   AR4901   AR5300   10
DSC001    E         DSC002      EXITC001    1         2          AR5300   AR4701   AR4801   AR5301   AR4901   10

DSC002    S         ARD000      EXIT7500    2         1          AR5301   AR4901   AR5300   AR4701   AR4801   10
DSC002    E         AR60PB      EXIT9000    4         2          AR5301   AR4901   AR5300   AR4701   AR4801   10
DSC002    W         DSC001      EXITC002    1         2          AR4901   AR5300   AR4701   AR4801   AR5301   10
DSC002    N         DSC004      EXITC002    1         2          AR5301   AR4901   AR5300   AR4701   AR4801   10
DSC002    S         DSC010      EXIT4600    8         1          AR4901   AR5300   AR4701   AR4801   AR5301   10

DSC004    W         AR8700      EXIT8900    4         1          AR4801   AR5301   AR4901   AR5300   AR4701   10
DSC004    E         AR60PB      EXITC004    3         2          AR4801   AR5301   AR4901   AR5300   AR4701   10
DSC004    S         DSC002      EXITC004    1         2          AR5300   AR4701   AR4801   AR5301   AR4901   10

DSC010    E         AR3400      EXIT3900    2         3          AR4801   AR5301   AR4901   AR5300   AR4701   10
DSC010    E         AR3900      EXIT4600    2         3          AR5301   AR4901   AR5300   AR4701   AR4801   10
DSC010    E         DSC002      EXITC001    8         2          AR4901   AR5300   AR4701   AR4801   AR5301   10
