//NTotSC Area Links Table
SRC_AREA  SRC_NWSE  TARGET_ARE  ENTRY_NAME  TRV_TIME  DEF_ENTRY  ENC1     ENC2     ENC3     ENC4     ENC5     ENC_PROB

AR01PB    W         AR7500      EXIT10PB    4         2          AR4801   AR5301   AR4901   AR5300   AR4701   10
AR01PB    W         AR8700      EXIT8900    6         2          AR4801   AR5301   AR4901   AR5300   AR4701   10
AR01PB    W         ARU000      EXIT8300    4         2          AR4801   AR5301   AR4901   AR5300   AR4701   10
AR01PB    W         AR10PB      EXIT01PB    4         3          AR5300   AR4701   AR4801   AR5301   AR4901   10
AR01PB    S         AR30PB      EXIT01PB    9         2          AR5300   AR4701   AR4801   AR5301   AR4901   10
AR01PB    N         AR40PB      EXIT01PB    6         2          AR4801   AR5301   AR4901   AR5300   AR4701   10
AR01PB    E         AR60PB      EXITC004    10        2          AR4901   AR5300   AR4701   AR4801   AR5301   10

AR10PB    S         AR7500      EXIT10PB    8         2          AR4801   AR5301   AR4901   AR5300   AR4701   10
AR10PB    W         ARU000      EXIT8300    7         1          AR5300   AR4701   AR4801   AR5301   AR4901   10
AR10PB    E         AR01PB      EXIT10PB    4         3          AR4701   AR4801   AR5301   AR4901   AR5300   10
AR10PB    W         AR20PB      EXIT10PB    5         2          AR4801   AR5301   AR4901   AR5300   AR4701   10
AR10PB    E         AR40PB      EXIT10PB    5         3          AR4901   AR5300   AR4701   AR4801   AR5301   10

AR20PB    S         ARU000      EXIT8300    7         1          AR4701   AR4801   AR5301   AR4901   AR5300   10
AR20PB    E         AR10PB      EXIT20PB    5         3          AR5300   AR4701   AR4801   AR5301   AR4901   10

AR30PB    W         AR7900      EXIT8300    13        3          AR4801   AR5301   AR4901   AR5300   AR4701   10
AR30PB    S         AR8300      EXIT8700    10        3          AR4801   AR5301   AR4901   AR5300   AR4701   10
AR30PB    E         AR8700      EXIT8900    7         1          AR4801   AR5301   AR4901   AR5300   AR4701   10
AR30PB    N         AR01PB      EXIT30PB    9         3          AR4901   AR5300   AR4701   AR4801   AR5301   10
AR30PB    E         AR40PB      EXIT10PB    7         3          AR4901   AR5300   AR4701   AR4801   AR5301   10
AR30PB    E         AR60PB      EXITC004    6         2          AR5300   AR4701   AR4801   AR5301   AR4901   10

AR40PB    S         AR01PB      EXIT40PB    6         3          AR4801   AR5301   AR4901   AR5300   AR4701   10
AR40PB    W         AR10PB      EXIT40PB    5         3          AR4701   AR4801   AR5301   AR4901   AR5300   10
AR40PB    W         AR30PB      EXIT01PB    7         3          AR4701   AR4801   AR5301   AR4901   AR5300   10

AR60PB    W         AR8700      EXIT8900    6         1          AR5300   AR4701   AR4801   AR5301   AR4901   10
AR60PB    W         AR01PB      EXIT40PB    10        3          AR4801   AR5301   AR4901   AR5300   AR4701   10
AR60PB    W         AR30PB      EXIT01PB    6         2          AR5301   AR4901   AR5300   AR4701   AR4801   10
AR60PB    W         DSC002      EXITC004    4         2          AR4801   AR5301   AR4901   AR5300   AR4701   10
AR60PB    S         DSC004      EXIT60PB    3         2          AR4801   AR5301   AR4901   AR5300   AR4701   10
