//ROT Area Links Table
SRC_AREA  SRC_NWSE  TARGET_ARE  ENTRY_NAME  TRV_TIME  DEF_ENTRY  ENC1     ENC2     ENC3     ENC4     ENC5     ENC_PROB

AR0020    N         RR0044      N           2         1          AR0042   AR0043   AR0044   AR0045   AR0042   25
AR0020    S         RR3100      ExitNE      22        1          AR0043   AR0044   AR0045   AR0042   AR0043   20
AR0020    E         RR3200      ExitSE      20        1          AR0044   AR0045   AR0042   AR0043   AR0044   20
AR0020    E         RR3300      EXITE       10        1          AR0045   AR0042   AR0043   AR0044   AR0045   25
AR0020    E         RR3400      EXITS       6         1          AR0042   AR0043   AR0044   AR0045   AR0042   25
AR0020    E         RR3450      ExitSE      6         1          AR0043   AR0044   AR0045   AR0042   AR0043   20
AR0020    E         RR3900      EXITNE      18        1          AR0044   AR0045   AR0042   AR0043   AR0044   20
AR0020    E         RR3950      EXITN       16        1          AR0045   AR0042   AR0043   AR0044   AR0045   25
AR0020    E         RA4200      EXITW       18        1          AR0042   AR0043   AR0044   AR0045   AR0042   25
AR0020    W         RA4300      EXITS       0         1          AR0043   AR0044   AR0045   AR0042   AR0043   20
AR0020    S         RA4500      EXITS       22        1          AR0044   AR0045   AR0042   AR0043   AR0044   20
AR0020    S         RA4700      EXITN       20        1          AR0045   AR0042   AR0043   AR0044   AR0045   25
AR0020    N         RA4900      EXITS       4         1          AR0042   AR0043   AR0044   AR0045   AR0042   25
AR0020    S         RA5700      EXITS       22        1          AR0043   AR0044   AR0045   AR0042   AR0043   20

RR0044    S         AR0020      ExitNE      2         1          AR0042   AR0043   AR0044   AR0045   AR0042   25
RR3100    N         AR0020      ExitNE      22        1          AR0043   AR0044   AR0045   AR0042   AR0043   20
RR3200    W         AR0020      ExitNE      20        1          AR0044   AR0045   AR0042   AR0043   AR0044   20
RR3300    W         AR0020      ExitNE      10        1          AR0045   AR0042   AR0043   AR0044   AR0045   25
