//TDD Area Links Table
SRC_AREA  SRC_NWSE  TARGET_ARE  ENTRY_NAME  TRV_TIME  DEF_ENTRY  ENC1     ENC2     ENC3     ENC4     ENC5     ENC_PROB

AR0020    E         ARPO05      N           14        1          AR0042   AR0043   AR0044   AR0045   AR0042   25
AR0020    E         DD1800      N           6         1          AR0043   AR0044   AR0045   AR0042   AR0043   20
AR0020    E         DD1900      N           20        1          AR0044   AR0045   AR0042   AR0043   AR0044   20
AR0020    E         DD2300      N           10        8          AR0042   AR0043   AR0044   AR0045   AR0042   25
AR0020    E         DD2500      N           16        1          AR0043   AR0044   AR0045   AR0042   AR0043   20
AR0020    E         DD3300      N           14        1          AR0044   AR0045   AR0042   AR0043   AR0044   20
AR0020    E         DD5000      FRWMAP      28        1          AR0045   AR0042   AR0043   AR0044   AR0045   25
AR0020    E         DD7000      N           20        1          AR0042   AR0043   AR0044   AR0045   AR0042   25
AR0020    E         DD8000      N           22        1          AR0043   AR0044   AR0045   AR0042   AR0043   20
AR0020    E         DD8001      N           28        1          AR0044   AR0045   AR0042   AR0043   AR0044   20
AR0020    E         DD9000      ExitW       14        1          AR0045   AR0042   AR0043   AR0044   AR0045   25
ARPO05    N         AR0020      ExitNE      14        4          AR0042   AR0043   AR0044   AR0045   AR0042   25
DD1800    W         AR0020      ExitNE      6         4          AR0044   AR0045   AR0042   AR0043   AR0044   20
DD1900    W         AR0020      ExitNE      20        4          AR0045   AR0042   AR0043   AR0044   AR0045   25
DD2300    W         AR0020      EXITNE      10        1          AR0042   AR0043   AR0044   AR0045   AR0042   25
DD2500    W         AR0020      ExitNE      16        4          AR0043   AR0044   AR0045   AR0042   AR0043   20
DD3300    W         AR0020      ExitNE      14        4          AR0044   AR0045   AR0042   AR0043   AR0044   20
DD5000    W         AR0020      ExitNE      28        1          AR0045   AR0042   AR0043   AR0044   AR0045   25
DD8000    N         AR0020      EXITNE      22        1          AR0045   AR0042   AR0043   AR0044   AR0045   25
DD9000    W         AR0020      ExitNE      14        4          AR0044   AR0045   AR0042   AR0043   AR0044   20

AR1100    W         DD2300      N           2         1          AR0042   AR0043   AR0044   AR0045   AR0042   25
AR1100    E         DD2500      N           4         1          AR0042   AR0043   AR0044   AR0045   AR0042   25
AR1100    S         DD3300      N           4         1          AR0043   AR0044   AR0045   AR0042   AR0043   20
AR1100    E         DD9000      EXITW       2         1          AR0044   AR0045   AR0042   AR0043   AR0044   20
DD2300    E         AR1100      ExitSE      2         1          AR0045   AR0042   AR0043   AR0044   AR0045   25
DD2500    W         AR1100      ExitSE      4         1          AR0042   AR0043   AR0044   AR0045   AR0042   25
DD3300    N         AR1100      ExitSE      4         1          AR0043   AR0044   AR0045   AR0042   AR0043   20
